,Abaddon,Alchemist,Ancient Apparition,Anti-Mage,Arc Warden,Axe,Bane,Batrider,Beastmaster,Bloodseeker,Bounty Hunter,Brewmaster,Bristleback,Broodmother,Centaur Warrunner,Chaos Knight,Chen,Clinkz,Clockwerk,Crystal Maiden,Dark Seer,Dark Willow,Dazzle,Death Prophet,Disruptor,Doom,Dragon Knight,Drow Ranger,Earth Spirit,Earthshaker,Elder Titan,Ember Spirit,Enchantress,Enigma,Faceless Void,Grimstroke,Gyrocopter,Huskar,Invoker,Io,Jakiro,Juggernaut,Keeper of the Light,Kunkka,Legion Commander,Leshrac,Lich,Lifestealer,Lina,Lion,Lone Druid,Luna,Lycan,Magnus,Mars,Medusa,Meepo,Mirana,Monkey King,Morphling,Naga Siren,Nature's Prophet,Necrophos,Night Stalker,Nyx Assassin,Ogre Magi,Omniknight,Oracle,Outworld Devourer,Pangolier,Phantom Assassin,Phantom Lancer,Phoenix,Puck,Pudge,Pugna,Queen of Pain,Razor,Riki,Rubick,Sand King,Shadow Demon,Shadow Fiend,Shadow Shaman,Silencer,Skywrath Mage,Slardar,Slark,Snapfire,Sniper,Spectre,Spirit Breaker,Storm Spirit,Sven,Techies,Templar Assassin,Terrorblade,Tidehunter,Timbersaw,Tinker,Tiny,Treant Protector,Troll Warlord,Tusk,Underlord,Undying,Ursa,Vengeful Spirit,Venomancer,Viper,Visage,Void Spirit,Warlock,Weaver,Windranger,Winter Wyvern,Witch Doctor,Wraith King,Zeus
Bounty Hunter,49.6773,51.3957,51.3448,51.0309,54.9802,51.1382,50.1784,55.3279,47.7357,49.1796,0.0,53.3017,53.5614,53.3139,53.5903,51.3318,54.4922,54.7659,49.0866,48.7641,49.4783,51.0132,51.809,55.6959,52.3782,56.3123,50.8042,52.8903,55.0222,52.4667,52.3167,55.7246,56.1078,50.7236,51.8877,55.7028,56.9159,51.496,55.62,58.5506,49.0991,52.58,52.9963,55.5267,51.5695,58.7771,50.9526,54.2346,55.8076,53.2745,48.4491,48.8085,51.4786,56.5929,54.467,52.0952,47.7908,51.7885,54.5549,54.1667,47.7652,57.4347,47.4848,51.1677,52.8974,47.4899,52.5488,55.0871,56.2617,53.8637,53.025,51.7141,50.5979,54.987,51.5391,52.2021,50.7823,52.0331,53.2904,55.5179,52.8946,55.8094,54.7945,52.8027,53.3595,52.4502,50.3045,51.5235,53.648,50.7385,50.5216,52.1877,53.8715,53.4202,50.9096,54.5962,53.9456,50.3486,56.7463,56.8176,57.5919,51.0513,48.9456,54.3358,49.5028,52.7415,48.7768,50.1249,50.0322,54.8591,49.6763,52.4563,51.7966,54.4169,51.051,54.0318,52.1996,47.8059,48.8868
Brewmaster,48.3042,45.2898,48.5391,44.1661,51.1846,47.1328,45.6928,54.5022,44.499,46.6303,46.6982,0.0,48.9886,46.7474,48.3813,49.5637,51.4246,47.2262,45.5616,47.1276,44.4444,48.0064,48.6791,50.0467,48.3495,50.321,47.1789,49.1128,51.9688,48.6802,47.1313,53.312,53.6854,47.7293,46.1357,52.2236,53.2589,49.7985,49.89,54.9549,45.8019,48.9176,49.1122,50.9737,48.4192,53.6578,47.7257,48.656,51.4638,49.6955,47.2878,45.2674,46.9533,52.8876,52.1764,46.7946,47.374,46.2749,50.8471,49.7283,48.2142,52.8971,46.3355,46.306,47.4275,45.1048,49.5391,52.0621,55.7574,49.6853,48.9742,49.3464,46.8049,50.3608,49.2696,48.9028,46.1901,50.1819,44.3388,52.5268,47.2051,52.1918,49.8394,48.778,49.7922,47.5053,48.1244,49.8646,49.2697,47.0884,47.2874,49.6573,50.1728,49.7655,49.1501,51.7141,52.7561,47.3228,50.8235,53.1394,54.7761,48.4654,48.0573,50.7096,45.6904,49.1775,48.456,48.4504,49.9677,53.7363,48.3702,47.9599,46.631,46.9989,46.8969,50.6368,48.7189,44.1843,47.1222
Bristleback,49.4117,47.5711,47.1886,44.9101,52.8772,48.5971,46.5253,53.8972,48.9468,46.5673,46.4385,51.0113,0.0,52.7188,52.3083,53.0764,53.0569,49.548,46.9743,48.6836,48.8233,48.9224,47.9395,52.5014,49.4866,53.1658,47.1556,47.4568,52.6313,51.0725,49.3825,52.8063,57.3994,51.3867,49.7602,52.2932,54.6476,53.035,51.8971,56.4822,47.7874,49.2738,49.4204,53.0232,47.9535,58.2498,49.9133,52.4732,53.4271,51.0568,48.8227,49.4893,54.5777,54.6117,50.5111,51.3662,48.2144,47.7957,51.594,51.3902,49.2489,53.0949,45.2116,47.6037,47.1655,44.7713,50.6271,54.7544,53.7858,50.4558,50.6054,51.7084,49.188,53.0577,50.8306,51.4525,48.7221,51.8327,48.9946,53.4153,51.4184,53.5109,49.8071,50.9897,46.5603,51.5355,48.2202,47.1476,51.8344,47.7653,48.2469,49.9927,52.2168,52.5832,50.3438,52.5669,52.4506,50.7229,52.7349,55.499,56.8832,49.7753,50.2461,50.9029,48.1359,49.1391,47.9068,47.7113,46.7984,49.6642,50.9676,50.4609,49.3065,50.9685,50.5049,51.3782,50.6326,46.8416,47.5274
Broodmother,50.7962,42.5274,50.0733,49.2563,60.6552,44.9589,47.4975,52.1777,44.8967,45.8191,46.686,53.2525,47.2811,0.0,49.9637,49.5737,50.9313,52.7949,53.3484,44.9622,42.6998,49.7485,49.2052,54.7296,49.8213,55.3066,45.4408,51.7292,52.8088,40.439,47.5551,49.1784,53.2055,47.5035,50.9577,51.2563,51.3374,53.9419,55.5939,56.3392,46.2011,52.1368,48.5736,41.5575,43.9635,54.2976,50.2517,53.7594,50.8666,50.6072,50.5683,48.5357,49.3159,47.5151,47.8338,53.5007,37.9723,50.7167,45.3233,53.7152,42.2222,58.4028,42.6395,51.6664,49.4152,47.727,50.3968,55.0646,60.8238,47.9661,48.2358,49.8504,48.8685,51.5843,49.8289,50.3317,50.3547,51.0533,49.2994,53.1203,46.173,51.8758,49.4028,50.9399,53.6889,51.7617,48.142,50.1374,52.179,50.1624,48.7694,45.1567,46.8527,43.2787,48.3349,49.8126,50.6871,45.7411,50.1151,58.8285,51.4718,48.6309,45.4592,52.1064,48.3304,49.978,48.4426,48.187,51.8549,55.1726,51.6248,45.542,51.1089,50.5816,49.172,49.1357,51.3725,46.9483,52.5821
Centaur Warrunner,48.4459,44.7281,49.2748,49.0275,53.3749,48.1506,47.432,53.0832,46.3568,44.1508,46.4096,51.6186,47.6916,50.0362,0.0,49.4443,50.0971,46.922,46.7548,46.9959,46.9326,48.514,46.5812,49.7925,49.3728,52.2049,47.0282,49.9455,52.9141,50.0553,49.051,51.4625,54.8445,47.5699,50.2077,52.7221,53.7416,49.9117,50.8092,56.2059,46.1371,48.0504,48.5199,51.0207,49.7637,56.1883,49.0535,50.2911,53.2571,52.5479,44.723,47.0909,46.216,54.1087,50.9562,50.6732,47.3294,47.5592,49.8171,52.9779,51.4344,53.6255,45.4297,46.7231,48.5339,45.2526,50.7929,53.4193,53.3633,52.5117,49.9478,54.115,48.5672,52.4803,49.5727,50.6843,48.5967,48.3711,45.7861,53.4025,49.5059,52.1353,49.8732,50.0961,49.7579,51.3203,47.966,50.1962,51.18,48.7215,48.2316,49.3591,53.7584,48.9471,50.444,49.575,52.0412,48.298,51.3461,54.9529,55.003,48.6682,48.5189,51.126,45.3738,46.899,46.0018,46.9602,47.1204,52.2506,47.3272,50.5349,46.7946,49.4737,51.244,51.0125,47.3767,43.1184,47.4484
Chaos Knight,47.9409,46.8645,49.7627,46.3491,52.3967,47.6304,51.7334,54.3487,47.3453,47.3229,48.6681,50.4362,46.9235,50.4262,50.5556,0.0,52.6236,50.304,47.8307,46.5518,44.7069,49.8122,48.5841,53.4028,50.0999,55.0305,47.2016,51.3588,52.8109,49.1232,47.1499,51.834,55.7547,46.3353,50.8841,53.6702,52.3794,54.2896,50.9525,56.5726,44.2721,49.7598,48.004,49.3946,50.3951,56.7153,47.4275,52.1004,53.827,52.1427,47.3557,47.5217,50.1493,51.9018,52.0733,46.1322,46.2184,48.2988,50.4246,52.5949,43.7067,55.0427,46.893,49.8149,50.0399,47.6366,49.7826,56.5928,57.1734,50.4421,49.7486,47.1733,45.895,52.1257,50.764,52.5191,49.9613,50.7568,47.5649,53.3881,47.0516,53.1276,50.4019,52.0995,50.9632,51.5179,50.184,50.7528,50.5779,47.7843,45.6858,50.1229,53.0828,47.9937,49.9957,52.4639,51.7048,45.4972,50.1729,55.1267,54.5548,47.7132,47.4434,52.0946,43.6703,46.6263,49.3162,48.46,49.4166,55.2271,50.5651,50.5419,45.321,49.7637,50.3041,50.2673,48.4587,44.8451,47.6171
Chen,47.2317,45.2532,46.4095,47.6111,52.7906,46.0832,46.5606,49.5027,49.6867,47.8519,45.5077,48.5753,46.943,49.0686,49.9028,47.3763,0.0,47.664,48.9123,44.965,44.7142,48.5666,47.3326,50.0,48.2613,49.507,45.3905,47.956,49.9859,47.2109,50.2439,52.9986,52.3298,44.8799,47.7148,51.4903,53.2569,49.702,49.9614,54.8402,44.7314,50.1445,48.6289,48.5463,48.7019,55.2771,47.9409,49.4681,50.494,49.81,46.4624,46.8654,46.2668,52.6641,51.1402,46.4832,43.7592,46.9813,48.1827,49.6927,44.8979,53.4326,44.8438,46.1233,46.8072,45.272,47.03,54.2475,51.7154,49.9415,47.1461,47.2454,48.5065,51.32,48.7368,49.2127,46.7542,46.5948,45.9827,52.2118,47.1777,52.6435,48.3981,49.6019,49.7264,47.9388,45.825,47.1242,49.3379,45.2063,48.1213,47.7075,51.4311,47.4195,48.9158,49.5982,51.5841,45.9061,50.7959,54.9814,52.5263,45.8988,43.8354,48.9119,44.8095,44.7935,45.0642,46.7957,46.6826,49.8562,45.3362,49.1843,47.2972,46.9656,46.83,47.2227,48.2399,44.6559,47.9775
Clinkz,47.7081,49.3735,52.3248,50.6493,52.3837,49.7136,48.8865,55.3164,50.646,46.8907,45.234,52.7737,50.4519,47.205,53.0779,49.6959,52.3359,0.0,48.0431,49.2382,50.3834,51.204,50.0019,56.9424,52.6168,54.8849,48.5062,48.7502,53.9897,53.581,51.8375,56.8957,53.3944,53.0878,51.6123,56.7018,56.199,53.2335,54.3441,56.3198,50.8135,53.2185,52.1803,54.5327,50.3334,58.9859,52.0338,53.3258,55.5992,53.8807,49.82,47.1264,50.0037,55.8601,52.0395,48.8373,44.8162,48.6814,54.4575,50.2368,43.896,53.8346,49.0781,49.3272,51.7659,46.4167,50.4654,55.803,56.2649,55.5874,48.6093,47.5585,51.8462,55.6598,51.5794,51.6837,51.571,51.9878,46.9092,55.6237,52.1157,53.7623,52.6855,52.6297,52.7452,51.4557,49.8672,50.9213,53.4805,50.0237,48.0157,50.0486,54.5272,52.2756,49.5366,54.2218,49.929,50.6542,54.342,55.1766,56.8625,49.8316,48.4443,53.0745,49.8127,52.1163,49.0037,48.2168,51.0095,56.0591,50.547,52.2373,50.273,51.6115,49.2305,52.2324,51.8905,45.6322,48.2682
Clockwerk,51.523,50.1683,51.8044,46.9955,54.0251,52.8592,51.0517,55.7227,46.4906,51.233,50.9133,54.4383,53.0256,46.6515,53.2451,52.1692,51.0876,51.9568,0.0,51.2769,50.6849,51.563,51.3846,55.2097,52.6142,55.9892,51.3449,55.5505,55.9565,56.2918,53.232,55.9883,57.9356,52.3563,51.7266,56.6279,58.6547,51.1542,54.9481,57.7578,50.2722,51.6643,52.187,55.1657,53.5503,61.7506,52.4026,53.7277,56.9388,55.3765,47.7594,53.0955,47.9474,57.6123,54.8749,53.3086,48.5124,49.2285,55.0369,54.2898,51.2177,57.0085,49.1822,49.2553,52.9735,48.5722,54.2254,56.579,56.6075,53.6938,54.4299,51.0136,50.0223,54.9538,53.904,54.5203,50.5304,53.8597,48.4688,57.0787,51.6384,54.8435,55.4865,53.929,53.5907,53.2285,52.5292,55.1679,52.125,51.9655,48.9581,54.2295,54.6022,55.4265,53.2377,53.567,54.2814,52.9713,54.7921,60.0341,59.0247,52.1516,52.545,54.4048,49.2732,50.4577,49.3642,51.3308,51.1839,54.6486,45.9321,52.0497,49.8378,53.3951,53.8502,54.4244,52.6516,46.4174,50.4203
Crystal Maiden,51.57,49.7726,51.2086,50.7259,54.3798,51.0208,50.5664,57.5732,49.9861,49.3056,51.2358,52.8723,51.3163,55.0377,53.004,53.4481,55.0349,50.7617,48.723,0.0,50.1625,51.4992,51.7851,54.1773,51.8823,56.1722,51.4069,51.3684,54.8104,53.0262,51.7114,56.7336,58.7394,50.3387,52.147,55.1489,56.0432,54.2089,54.0138,59.0623,48.9363,51.2342,51.5173,54.33,52.5465,59.7511,51.0263,53.5914,55.495,54.2704,49.1719,50.1017,52.82,55.9719,53.5945,51.1229,53.2887,50.4405,52.8494,55.0804,53.8376,57.8825,49.7416,49.5057,51.3904,48.3664,55.2277,56.7073,56.3071,54.1919,52.2413,56.915,50.7392,54.2736,50.9381,52.716,51.6815,52.808,49.789,54.7761,52.6196,55.2089,52.287,52.452,51.9687,52.1742,51.3809,53.9518,53.1731,49.7351,49.2056,52.8303,56.1634,53.5027,52.3784,54.8766,55.1457,51.1829,55.9687,56.9675,58.3679,51.5269,52.2426,54.0944,49.2576,50.7611,49.507,50.0346,51.4471,55.1495,49.9172,52.8803,50.5404,53.5502,52.1676,53.1793,51.2691,48.1466,49.1167
Dark Seer,55.2485,51.5879,50.7063,47.2453,54.6462,51.47,51.8029,57.0308,52.0294,47.9389,50.5216,55.5555,51.1766,57.3001,53.0673,55.293,55.2857,49.6165,49.315,49.8374,0.0,51.495,52.373,56.0087,51.238,55.4532,52.9337,52.9428,56.335,52.2197,54.0118,53.9792,58.1206,49.6889,50.5454,55.4643,55.3269,52.3348,53.2749,58.7837,48.6768,52.3026,51.0924,54.5798,51.2696,57.7888,51.9747,53.943,55.4396,54.3388,47.5207,53.0739,53.4194,56.4712,54.4946,54.5192,51.0117,50.9887,52.8913,54.3245,57.5175,56.7081,51.3772,51.6962,51.7103,49.2742,56.744,53.34,56.1193,53.8512,52.2726,60.9736,50.7072,54.8189,52.8494,54.6137,51.2283,52.8721,49.8224,54.9977,52.49,55.7676,54.0202,54.6118,53.1321,51.9269,52.19,53.6378,53.4717,49.8992,51.5905,53.2807,55.3051,51.7795,51.0495,58.6286,60.0874,52.9884,54.9716,55.9259,58.6191,53.1157,51.073,55.7975,49.8631,52.5337,48.3203,52.1735,53.3455,55.8747,53.6522,52.0536,49.6256,51.4372,49.6396,54.1823,51.5385,49.7725,49.1936
